Intercept , --0.985 *** , 0.131 , 0.000      , --1.231 *** , 0.225 , 0.000       , 11.55 *** , 2.859 , 0.131 
AS , 0.158 , 0.131 , 0.227            ,  0.156 , 0.135 , 0.000           , 2.63 *** , 1.381 , 0.039 
HR , 0.494 *** , 0.115 , 0.000          ,  0.517 *** , 0.115 , 0.000         , 5.542 *** , 1.763 , 0.063 
BUDH , --0.578 ** , 0.228 , 0.011       ,  --0.641 *** , 0.23 , 0.000        , --3.119 *** , 0.992 , 0.030 
BUDA , 0.409 *** , 0.127 , 0.001       ,  0.423 *** , 0.126 , 0.000       , 4.571 *** , 1.79 , 0.057 
INTERNATIONAL ,  ,  ,        , 0.327 , 0.262 , 0.000         , 2.715 * , 2.13 , 0.06 
delta ,,,,,, , --33.19 *** , 7.125 , 0.335  
AIC , 420.119 ,,, 426.7 ,, , 67.43 ,  ,  
DIC , 410.119 ,,, 420.75 ,, , 108.105 ,  ,  
\% Correct Fitting , 72.89 ,,,   70      ,, ,   100        ,  , 
